ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type
159789.OF,建信中证饮料主题ETF,建信中证饮料主题ETF,建信中证饮料主题交易型开放式指数证券投资基金,H30205.CSI,中证饮料主题指数,20211125,2021-12-20,D,SZ,建信基金,中国国际金融股份有限公司,,纯境内
159789.SZ,建信中证饮料主题ETF,建信中证饮料主题ETF,建信中证饮料主题交易型开放式指数证券投资基金,H30205.CSI,中证饮料主题指数,20211125,2021-12-20,D,SZ,建信基金,中国国际金融股份有限公司,0.5,纯境内
159790.OF,华夏中证内地低碳经济主题ETF,华夏中证内地低碳经济主题ETF,华夏中证内地低碳经济主题交易型开放式指数证券投资基金,000977.CSI,中证内地低碳经济主题指数,20210730,2021-08-06,L,SZ,华夏基金,中国建设银行股份有限公司,,纯境内
159790.SZ,华夏中证内地低碳经济主题ETF,碳中和ETF华夏,华夏中证内地低碳经济主题交易型开放式指数证券投资基金,000977.CSI,中证内地低碳经济主题指数,20210730,2021-08-06,L,SZ,华夏基金,中国建设银行股份有限公司,0.5,纯境内
159791.OF,华夏沪深300ESG基准ETF,华夏沪深300ESG基准ETF,华夏沪深300ESG基准交易型开放式指数证券投资基金,931463.CSI,沪深300ESG基准指数,20220224,2022-03-08,L,SZ,华夏基金,中国建设银行股份有限公司,,纯境内
159791.SZ,华夏沪深300ESG基准ETF,300ESGETF华夏,华夏沪深300ESG基准交易型开放式指数证券投资基金,931463.CSI,沪深300ESG基准指数,20220224,2022-03-08,L,SZ,华夏基金,中国建设银行股份有限公司,0.5,纯境内
159792.OF,富国中证港股通互联网ETF,富国中证港股通互联网ETF,富国中证港股通互联网交易型开放式指数证券投资基金,931637.CSI,中证港股通互联网指数,20210915,2021-09-28,L,SZ,富国基金,中国银行股份有限公司,,纯境内
159792.SZ,富国中证港股通互联网ETF,港股通互联网ETF富国,富国中证港股通互联网交易型开放式指数证券投资基金,931637.CSI,中证港股通互联网指数,20210915,2021-09-28,L,SZ,富国基金,中国银行股份有限公司,0.15,纯境内
159793.OF,平安中证沪港深线上消费主题ETF,平安中证沪港深线上消费主题ETF,平安中证沪港深线上消费主题交易型开放式指数证券投资基金,931481.CSI,中证沪港深线上消费主题指数,20211109,2021-11-24,L,SZ,平安基金,中国农业银行股份有限公司,,纯境内
159793.SZ,平安中证沪港深线上消费主题ETF,线上消费ETF平安,平安中证沪港深线上消费主题交易型开放式指数证券投资基金,931481.CSI,中证沪港深线上消费主题指数,20211109,2021-11-24,L,SZ,平安基金,中国农业银行股份有限公司,0.5,纯境内
159795.OF,汇添富中证智能汽车主题ETF,汇添富中证智能汽车主题ETF,汇添富中证智能汽车主题交易型开放式指数证券投资基金,930721.CSI,中证智能汽车主题指数,20220127,2022-02-14,L,SZ,汇添富基金,平安银行股份有限公司,,纯境内
159795.SZ,汇添富中证智能汽车主题ETF,智能汽车ETF汇添富,汇添富中证智能汽车主题交易型开放式指数证券投资基金,930721.CSI,中证智能汽车主题指数,20220127,2022-02-14,L,SZ,汇添富基金,平安银行股份有限公司,0.15,纯境内
159796.OF,汇添富中证电池主题ETF,汇添富中证电池主题ETF,汇添富中证电池主题交易型开放式指数证券投资基金,931719.CSI,中证电池主题指数,20220303,2022-03-14,L,SZ,汇添富基金,中国银行股份有限公司,,纯境内
159796.SZ,汇添富中证电池主题ETF,电池ETF汇添富,汇添富中证电池主题交易型开放式指数证券投资基金,931719.CSI,中证电池主题指数,20220303,2022-03-14,L,SZ,汇添富基金,中国银行股份有限公司,0.15,纯境内
159797.OF,汇添富中证全指医疗器械ETF,汇添富中证全指医疗器械ETF,汇添富中证全指医疗器械交易型开放式指数证券投资基金,H30217.CSI,中证全指医疗器械指数,20220428,2022-05-16,L,SZ,汇添富基金,中国农业银行股份有限公司,,纯境内
159797.SZ,汇添富中证全指医疗器械ETF,医疗器械ETF汇添富,汇添富中证全指医疗器械交易型开放式指数证券投资基金,H30217.CSI,中证全指医疗器械指数,20220428,2022-05-16,L,SZ,汇添富基金,中国农业银行股份有限公司,0.15,纯境内
159798.OF,易方达中证消费50ETF,易方达中证消费50ETF,易方达中证消费50交易型开放式指数证券投资基金,931139.CSI,中证消费50指数,20220428,2022-05-11,L,SZ,易方达基金,中国建设银行股份有限公司,,纯境内
159798.SZ,易方达中证消费50ETF,消费ETF易方达,易方达中证消费50交易型开放式指数证券投资基金,931139.CSI,中证消费50指数,20220428,2022-05-11,L,SZ,易方达基金,中国建设银行股份有限公司,0.5,纯境内
159799.OF,平安中证港股通消费ETF,平安中证港股通消费ETF,平安中证港股通消费主题交易型开放式指数证券投资基金,931454.CSI,中证港股通消费主题指数,,,P,SZ,平安基金,中信证券股份有限公司,0.5,纯境内
159799.SZ,平安中证港股通消费ETF,平安中证港股通消费ETF,平安中证港股通消费主题交易型开放式指数证券投资基金,931454.CSI,中证港股通消费主题指数,,,P,SZ,平安基金,中信证券股份有限公司,,纯境内
159800.OF,鹏华中证800ETF,鹏华中证800ETF,鹏华中证800交易型开放式指数证券投资基金,000906.SH,中证800指数,20240627,2024-07-12,L,SZ,鹏华基金,华泰证券股份有限公司,,纯境内
159800.SZ,鹏华中证800ETF,中证800ETF鹏华,鹏华中证800交易型开放式指数证券投资基金,000906.SH,中证800指数,20240627,2024-07-12,L,SZ,鹏华基金,华泰证券股份有限公司,0.5,纯境内
159801.OF,广发国证半导体芯片ETF,广发国证半导体芯片ETF,广发国证半导体芯片交易型开放式指数证券投资基金,980017.SZ,国证半导体芯片指数,20200120,2020-02-18,L,SZ,广发基金,中国工商银行股份有限公司,,纯境内
159801.SZ,广发国证半导体芯片ETF,芯片ETF广发,广发国证半导体芯片交易型开放式指数证券投资基金,980017.SZ,国证半导体芯片指数,20200120,2020-02-18,L,SZ,广发基金,中国工商银行股份有限公司,0.5,纯境内
159802.OF,广发中证800ETF,广发中证800ETF,广发中证800交易型开放式指数证券投资基金,000906.SH,中证800指数,20200413,2020-05-15,D,SZ,广发基金,中国工商银行股份有限公司,,纯境内
